"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"33","IN","~~","IN","",0.392694853257737,0.0734181276657053,5.34874513615757,8.85661570748653e-08,0.24879796722059,0.536591739294882,1,1,1
"34","IN","~~","EN","",0.323650694828759,0.0497941175228937,6.49977770325892,8.04387667585615e-11,0.226056017841933,0.421245371815586,0.763595541399136,0.763595541399136,0.763595541399136
"35","EN","~~","EN","",0.457478944344233,0.063987564549499,7.14949768076171,8.70858940515973e-13,0.332065622368783,0.582892266319683,1,1,1
"36","Q4_3","~~","Q4_3","psi43",0.278552864426236,0.032743794973322,8.50704277415576,0,0.214376205561362,0.342729523291111,0.278552864426236,0.388655990061957,0.388655990061957
"37","Q4_4","~~","Q4_4","psi44",0.251544083164597,0.0220171825207548,11.4248988455937,0,0.208391198382873,0.294696967946321,0.251544083164597,0.350770732889279,0.350770732889279
"38","Q4_5","~~","Q4_5","psi45",0.32818767341638,0.0409286415172352,8.01853326302509,1.11022302462516e-15,0.247969010106448,0.408406336726312,0.32818767341638,0.433880170916582,0.433880170916582
"39","Q4_9","~~","Q4_9","psi49",0.497213825946905,0.0480999740520313,10.3370913549569,0,0.402939609147613,0.591488042746198,0.497213825946905,0.533995089242921,0.533995089242921
"40","Q4_11","~~","Q4_11","psi411",0.376308036895873,0.0383926206296315,9.80157203974344,0,0.301059883189686,0.45155619060206,0.376308036895873,0.416572758071217,0.416572758071217
"41","Q4_15","~~","Q4_15","psi415",0.388785449640792,0.0396408509984671,9.80769685433408,0,0.311090809367278,0.466480089914306,0.388785449640792,0.499442813370941,0.499442813370941
"42","Q4_18","~~","Q4_18","psi418",0.215761523841204,0.0247163902461729,8.72949171348404,0,0.167318289130868,0.26420475855154,0.215761523841204,0.346470514818037,0.346470514818037
"43","Q5_1","~~","Q5_1","psi51",0.524783025015338,0.046422622072327,11.3044675545841,0,0.433796357685663,0.615769692345013,0.524783025015338,0.581034244282479,0.581034244282479
"44","Q5_2","~~","Q5_2","psi52",0.590289943140625,0.0604781940028534,9.7603764939273,0,0.471754861045006,0.708825025236244,0.590289943140625,0.578318924894449,0.578318924894449
"45","Q5_3","~~","Q5_3","psi53",0.581174428483624,0.0576890306266132,10.0742623367208,0,0.468106006152434,0.694242850814814,0.581174428483624,0.537574977032193,0.537574977032193
"46","Q5_5","~~","Q5_5","psi55",0.586105346961005,0.0647031643870491,9.05837222202874,0,0.459289475076614,0.712921218845396,0.586105346961005,0.52354980240744,0.52354980240744
"47","Q5_6","~~","Q5_6","psi56",0.372141405788104,0.0426024673620289,8.73520781380351,0,0.288642104105984,0.455640707470224,0.372141405788104,0.439937332991471,0.439937332991471
"48","Q5_12","~~","Q5_12","psi512",0.61143612457504,0.0642686694215243,9.51375110265257,0,0.485471847174542,0.737400401975538,0.61143612457504,0.597880723937612,0.597880723937612
"49","Q6_2","~~","Q6_2","psi62",0.43222157446773,0.0509807198138969,8.47813793225239,0,0.332301199726565,0.532141949208895,0.43222157446773,0.523958015552545,0.523958015552545
"50","Q6_5","~~","Q6_5","psi65",0.908213943470029,0.0852307575599375,10.6559412290961,0,0.741164728277487,1.07526315866257,0.908213943470029,0.753032811753667,0.753032811753667
"51","Q6_6","~~","Q6_6","psi66",0.217977426542077,0.0263010426248037,8.28778652054309,2.22044604925031e-16,0.166428330241609,0.269526522842546,0.217977426542077,0.353133750613448,0.353133750613448
"52","Q6_7","~~","Q6_7","psi67",0.216166160067377,0.030059471950869,7.19128268190113,6.41930952838266e-13,0.157250677649382,0.275081642485372,0.216166160067377,0.282104495579379,0.282104495579379
"53","Q6_8","~~","Q6_8","psi68",0.244607686421251,0.0318691634542318,7.67537204961591,1.64313007644523e-14,0.182145273833537,0.307070099008966,0.244607686421251,0.352317357688114,0.352317357688114
"54","Q6_11","~~","Q6_11","psi611",0.521960091111506,0.0512187705641337,10.1907969551501,0,0.421573145473383,0.622347036749628,0.521960091111506,0.548611285537346,0.548611285537346
"55","Q7_2","~~","Q7_2","psi72",0.328475988352461,0.0384236731096984,8.54879197557903,0,0.253166972903712,0.40378500380121,0.328475988352461,0.417932345338715,0.417932345338715
"56","Q7_4","~~","Q7_4","psi74",0.483877092943157,0.0488099357223789,9.91349580330023,0,0.388211376839579,0.579542809046734,0.483877092943157,0.545780218307932,0.545780218307932
"57","Q7_5","~~","Q7_5","psi75",0.357772915781792,0.0448374502302311,7.97933232029703,1.55431223447522e-15,0.269893128171932,0.445652703391652,0.357772915781792,0.40354377539846,0.40354377539846
"58","Q7_7","~~","Q7_7","psi77",0.635268172915639,0.0579830187549227,10.9561072630718,0,0.52162354444108,0.748912801390198,0.635268172915639,0.558970929272181,0.558970929272181
"59","Q7_8","~~","Q7_8","psi78",0.354497711523673,0.0433623564254281,8.17524094045296,2.22044604925031e-16,0.269509054645045,0.439486368402302,0.354497711523673,0.404817505625611,0.404817505625611
"60","Q7_14","~~","Q7_14","psi714",0.719764613742196,0.0614918203834393,11.7050464477067,0,0.599242860446849,0.840286367037543,0.719764613742196,0.662744929728623,0.662744929728623
"61","rEL",":=","(1**2+lam44**2+lam45**2+lam49**2+lam411**2+lam415**2+lam418**2)/(1**2+lam44**2+lam45**2+lam49**2+lam411**2+lam415**2+lam418**2+psi43+psi44+psi45+psi49+psi411+psi415+psi418)","rEL",0.751122101131607,0.0186310849771181,40.3155319217373,0,0.71460584558355,0.787638356679664,0.609808902478607,0.598061125952349,0.598061125952349
"62","rSC",":=","(1+lam52**2+lam53**2+lam55**2+lam56**2+lam512**2)/(1+lam52**2+lam53**2+lam55**2+lam56**2+lam512**2+psi51+psi52+psi53+psi55+psi56+psi512)","rSC",0.68815115989456,0.0294359059971736,23.3779507231962,0,0.630457844287794,0.745844475501327,0.506257211179218,0.504896056668234,0.504896056668234
"63","rIN",":=","(1**2+lam65**2+lam66**2+lam67**2+lam68**2+lam611**2)/(1**2+lam65**2+lam66**2+lam67**2+lam68**2+lam611**2+psi62+psi65+psi66+psi67+psi68+psi611)","rIN",0.716262874882185,0.028298118312053,25.3113251907321,0,0.660799582160307,0.771726167604062,0.551630462579533,0.568795858278337,0.568795858278337
"64","rEN",":=","(1**2+lam74**2+lam75**2+lam77**2+lam78**2+lam714**2)/(1**2+lam74**2+lam75**2+lam77**2+lam78**2+lam714**2+psi72+psi74+psi75+psi77+psi78+psi714)","rEN",0.678300138171683,0.0265298435744518,25.5674382801444,0,0.626302600250276,0.730297676093089,0.535528898070472,0.533527381938533,0.533527381938533
